Protein,Localization,Length,Mass,Hydrophobic,Positive Charged,Negative Charged,Polar,Hydropathicity
CLASP2,Cytosol,1294,141064,566,189,151,388,-597.3
CNKSR1,Cytosol,720,79706,332,90,98,200,-360.5
COL1A1,Cytosol,1464,138911,968,137,141,218,-1150.8
CTIF,Cytosol,598,67587,238,97,87,176,-502.5
CUL7,Cytosol,1698,191161,805,222,219,452,-538.2
CUL9,Cytosol,2517,281229,1180,304,324,709,-720.8
DDHD1,Cytosol,900,100435,398,125,127,250,-513.2
DDHD2,Cytosol,711,81032,316,91,99,205,-307
DERA,Cytosol,318,35231,157,49,34,78,-23.7
DGKZ,Cytosol,928,103981,415,157,115,241,-552.4
DLGAP4,Cytosol,992,108012,413,140,122,317,-793.7
DMXL1,Cytosol,3027,337839,1324,383,343,977,-838
DMXL2,Cytosol,3036,339641,1335,417,367,917,-995.7
DNAJC21,Cytosol,531,62028,174,106,114,137,-682.7
DNMBP,Cytosol,1577,177347,694,213,232,438,-857.1
DOCK1,Cytosol,1865,215346,837,300,256,472,-803.1
DSTYK,Cytosol,929,105206,423,139,120,247,-293
DTYMK,Cytosol,212,23819,101,37,29,45,-64.6
DYNC1H1,Cytosol,4646,532408,2123,674,639,1210,-1582.1
DYNC1LI1,Cytosol,523,56579,255,72,68,128,-207.4
DYNLT1,Cytosol,113,12452,47,10,12,44,-10.5
DYNLT3,Cytosol,116,13062,47,14,14,41,-15
EFHD2,Cytosol,240,26697,114,38,44,44,-146.4
EID2,Cytosol,236,25190,136,36,32,32,-104.3
EIF2B1,Cytosol,305,33712,155,42,38,70,22.6
EIF2B2,Cytosol,351,38990,176,50,46,79,-48.4
ELAC1,Cytosol,363,40019,186,54,46,77,-39.9
ELMO2,Cytosol,720,82615,332,98,98,192,-236.3
ELMO3,Cytosol,720,81467,356,96,92,176,-183.1
ENDOV,Cytosol,282,30792,149,43,32,58,-26.2
EPG5,Cytosol,2579,292481,1222,316,280,761,-288.1
FAM89B,Cytosol,189,20147,98,21,23,47,-83.1
FBXL15,Cytosol,300,32998,166,45,35,54,-8
FBXO42,Cytosol,717,77839,345,88,67,217,-339.4
FBXW8,Cytosol,598,67394,280,81,83,154,-220
FERMT1,Cytosol,677,77437,301,92,89,195,-221.1
FOCAD,Cytosol,1801,200058,921,203,175,502,243.7
FRYL,Cytosol,3013,339598,1350,371,386,906,-667
FTSJ1,Cytosol,329,36079,163,37,38,91,-80.8
GPATCH2,Cytosol,528,58944,206,101,70,151,-559.8
GPRASP2,Cytosol,838,93773,357,110,137,234,-561.1
GRB14,Cytosol,540,60988,241,87,59,153,-238.4
GSTZ1,Cytosol,216,24212,108,26,20,62,-21.3
GYG2,Cytosol,501,55184,229,53,63,156,-150.8
HAUS3,Cytosol,603,69650,235,90,95,183,-335.8
HAUS4,Cytosol,363,42400,148,56,58,101,-167.1
HAUS6,Cytosol,955,108621,390,150,135,280,-520.2
HEATR5A,Cytosol,2040,222004,1030,239,211,560,288.2
HECTD3,Cytosol,861,97113,414,117,122,208,-258.6
HERC1,Cytosol,4861,532228,2262,597,576,1426,-1270.9
HERC4,Cytosol,1057,118563,515,130,123,289,-135.5
HMGCLL1,Cytosol,370,39514,193,38,32,107,27.7
HPS3,Cytosol,1004,113736,470,135,123,276,-83.4
HPS5,Cytosol,1129,127449,489,154,162,324,-318.9
HPS6,Cytosol,775,82975,453,82,78,162,-14.6
ICA1,Cytosol,483,54645,198,74,75,136,-304.9
IDNK,Cytosol,187,20578,96,26,25,40,-32.5
IFT80,Cytosol,777,88035,346,111,88,232,-167.7
IFT81,Cytosol,676,79746,249,135,113,179,-598.5
IFT88,Cytosol,824,93192,353,116,115,240,-446.2
IKBKE,Cytosol,716,80462,339,107,80,190,-170.8
INPP5F,Cytosol,1132,128407,478,169,144,341,-566.9
IPO9,Cytosol,1041,115963,524,100,139,278,14.3
KATNA1,Cytosol,491,55965,211,81,76,123,-289.5
KATNB1,Cytosol,655,72334,305,91,76,183,-188.1
KCMF1,Cytosol,381,41945,149,47,48,137,-251.9
KHNYN,Cytosol,678,74534,333,102,87,156,-382.8
KIAA0930,Cytosol,404,45794,180,66,55,103,-199.5
KIF13A,Cytosol,1805,202308,747,257,268,533,-993.8
KIF13B,Cytosol,1826,202789,819,263,264,480,-1015.1
KIF1B,Cytosol,1816,204476,768,253,264,531,-894.8
KLHL26,Cytosol,615,68139,308,77,69,161,-82.6
KLHL9,Cytosol,617,69429,298,75,69,175,-102.6
KSR1,Cytosol,923,102160,420,150,104,249,-482.6
LAP3,Cytosol,519,56166,270,68,58,123,-89.4
LINGO1,Cytosol,620,69876,310,82,55,173,-22.4
LPIN1,Cytosol,890,98664,387,123,112,268,-493.3
LPIN2,Cytosol,896,99399,375,122,135,264,-543
LRRC40,Cytosol,602,68250,275,80,76,171,-124.5
LSM1,Cytosol,133,15179,63,21,24,25,-44.5
LTF,Cytosol,710,78182,326,99,79,206,-239.3
LYPLA1,Cytosol,230,24670,127,23,19,61,15.2
LYPLAL1,Cytosol,237,26316,116,33,22,66,-16.8
MADD,Cytosol,1647,183303,737,222,218,470,-740
MAGED2,Cytosol,606,64954,277,93,73,163,-324.1
MAP2K4,Cytosol,399,44288,190,57,46,106,-150.7
MAP2K5,Cytosol,448,50112,226,53,49,120,-67.2
MAP2K6,Cytosol,334,37492,160,48,42,84,-93.7
MAP3K5,Cytosol,1374,154537,626,191,193,364,-388.7
MAP4K2,Cytosol,820,91556,404,109,98,209,-227.2
MAST2,Cytosol,1798,196436,803,277,212,506,-1139
MCC,Cytosol,829,93027,304,132,140,253,-580
METTL21A,Cytosol,218,24600,109,30,27,52,-8.1
MEX3D,Cytosol,651,64883,405,59,65,122,-130
MTM1,Cytosol,603,69932,255,97,73,178,-262.1
MTMR14,Cytosol,650,72203,294,83,79,194,-190.8
MTMR3,Cytosol,1198,133619,497,160,159,382,-590.2
MTMR6,Cytosol,621,71968,251,100,75,195,-294.6
MTMR7,Cytosol,660,75833,268,97,89,206,-355.1
MTMR9,Cytosol,549,63462,243,74,68,164,-165.9
MYCN,Cytosol,464,49561,228,64,66,106,-290.4
MYD88,Cytosol,296,33233,142,38,38,78,-51.5
MZT2B,Cytosol,158,16226,91,21,13,33,-48.3
NAPB,Cytosol,298,33557,130,44,47,77,-136
NBEA,Cytosol,2946,327822,1383,365,342,856,-554.9
NCKIPSD,Cytosol,722,78960,364,94,83,181,-123.8
NEDD9,Cytosol,834,92861,370,112,95,257,-486.1
NEK1,Cytosol,1258,142828,497,218,216,327,-1016.5
NEK3,Cytosol,506,57705,211,81,69,145,-306.4
NEK4,Cytosol,841,94597,346,139,114,242,-552.1
NKIRAS1,Cytosol,192,21643,84,29,28,51,-75.3
NRBP2,Cytosol,501,57803,231,84,74,112,-216.1
NSUN6,Cytosol,469,51770,243,64,52,110,-60.7
OSBP,Cytosol,807,89421,348,125,105,229,-509.3
PACS2,Cytosol,889,97702,396,122,112,259,-434.5
PAIP2,Cytosol,127,14984,49,11,33,34,-108.4
PAIP2B,Cytosol,123,14237,45,11,30,37,-142.6
PARVB,Cytosol,364,41714,172,63,55,74,-113
PDCD10,Cytosol,212,24702,93,34,31,54,-89.8
PDE7A,Cytosol,482,55505,208,74,52,148,-169.2
PHKA2,Cytosol,1235,138408,580,162,145,348,-255.5
PHKB,Cytosol,1093,124884,508,149,131,305,-321.4
PHKG2,Cytosol,406,46442,196,64,58,88,-130.2
PICK1,Cytosol,415,46600,190,60,67,98,-150.5
PKN2,Cytosol,984,112035,431,150,145,258,-494.7
PLEKHG2,Cytosol,1386,147969,722,156,154,354,-599.2
PLIN3,Cytosol,434,47075,195,51,55,133,-167.2
POLR2M,Cytosol,368,41740,135,64,61,108,-356.7
POLR2M,Cytosol,148,15131,88,15,12,33,-45
PPM1H,Cytosol,514,56448,246,73,65,130,-169.1
PPP2R2D,Cytosol,453,52042,181,74,68,130,-257.7
PPP2R5A,Cytosol,486,56194,218,73,67,128,-155.6
PPP2R5E,Cytosol,467,54699,211,71,65,120,-140.4
PRKAA1,Cytosol,559,64009,240,98,72,149,-257.7
PRKAG1,Cytosol,331,37579,155,47,39,90,-5.3
PRKCI,Cytosol,596,68262,261,90,89,156,-294.2
PRKD1,Cytosol,912,101704,427,127,109,249,-260.3
PRKD2,Cytosol,878,96722,423,118,97,240,-249.7
PRKX,Cytosol,358,40896,178,58,49,73,-114.1
PSMA3,Cytosol,255,28433,119,36,40,60,-71.1
PSMA4,Cytosol,261,29484,113,42,37,69,-119.7
PSMA6,Cytosol,246,27399,112,33,31,70,-43.7
PSMB2,Cytosol,201,22836,99,28,24,50,-34.1
PSMB3,Cytosol,205,22949,109,24,23,49,6.5
PSMB4,Cytosol,264,29204,137,27,27,73,-42.1
PSMB5,Cytosol,263,28480,138,30,27,68,-29.9
PSMB7,Cytosol,277,29965,140,35,30,72,-21.5
PSMC2,Cytosol,433,48634,209,67,68,89,-180.2
PSMC3,Cytosol,439,49204,209,63,72,95,-174
PSMC4,Cytosol,418,47366,202,60,69,87,-147.4
PSMC5,Cytosol,406,45626,202,68,60,76,-130.6
PSMD1,Cytosol,953,105836,459,122,133,239,-218.1
PSMD11,Cytosol,422,47464,196,63,60,103,-76.9
PSMD12,Cytosol,456,52904,190,75,68,123,-175.2
PSMD13,Cytosol,376,42945,178,50,50,98,-66.5
PSMD14,Cytosol,310,34577,158,43,37,72,-54.2
PSMD2,Cytosol,908,100200,457,114,131,206,-158.3
PSMD3,Cytosol,534,60978,244,89,73,128,-282.6
PSMD7,Cytosol,324,37025,139,61,54,70,-168.5
PSMD8,Cytosol,350,39612,169,56,33,92,-116.3
PSME4,Cytosol,1843,211334,869,261,222,491,-319
PTGR2,Cytosol,351,38499,173,36,39,103,-54.3
PTK2,Cytosol,1052,119233,475,152,137,288,-515.5
PTK2B,Cytosol,1009,115875,460,146,141,262,-424.4
PTPN23,Cytosol,1636,178974,862,210,173,391,-701.9
R3HCC1,Cytosol,440,49092,206,68,71,95,-254.8
RAB28,Cytosol,221,24841,98,27,27,69,-66.7
RAB3IL1,Cytosol,382,42637,170,58,54,100,-195.3
RABGAP1,Cytosol,1069,121737,438,158,179,294,-599.1
RAF1,Cytosol,648,73052,283,101,58,206,-253.8
RALGPS2,Cytosol,583,65167,253,86,61,183,-247.2
RFESD,Cytosol,157,17762,62,28,23,44,-98.1
RICTOR,Cytosol,1708,192218,739,256,198,515,-500
RIOK2,Cytosol,552,63283,221,90,89,152,-385.2
RNF141,Cytosol,230,25535,96,27,31,76,-71.1
RNF214,Cytosol,703,77667,305,102,90,206,-430.8
ROGDI,Cytosol,287,32254,141,36,26,84,-28.5
RTKN,Cytosol,563,62667,266,79,66,152,-243.3
RWDD2A,Cytosol,292,33893,129,45,39,79,-102.4
SASS6,Cytosol,657,74397,260,107,90,200,-426.1
SCYL1,Cytosol,808,89631,383,112,107,206,-408.5
SEC23IP,Cytosol,1000,111076,469,117,123,291,-415.2
SESN1,Cytosol,492,56557,224,73,67,128,-161.4
SHQ1,Cytosol,577,65125,247,69,97,164,-247.7
SNAP29,Cytosol,258,28970,104,43,44,67,-244.5
SNF8,Cytosol,258,28864,130,39,35,54,-63.5
SNUPN,Cytosol,360,41143,145,57,49,109,-233.9
SNX1,Cytosol,522,59070,223,75,88,136,-340
SNX2,Cytosol,519,58471,230,76,90,123,-277.5
SNX5,Cytosol,404,46816,165,75,68,96,-228.9
SNX6,Cytosol,406,46649,168,74,72,92,-245.3
SOX3,Cytosol,446,45210,265,51,26,104,-129.4
SPATA5,Cytosol,893,97904,453,113,118,209,-170.7
SPATA5L1,Cytosol,753,80710,421,98,84,150,-21.8
SPC25,Cytosol,224,26153,88,40,37,59,-160.8
STARD13,Cytosol,1113,124967,483,168,139,323,-620.6
STAT3,Cytosol,770,88068,338,95,91,246,-310.6
STK3,Cytosol,491,56301,211,72,82,126,-302.8
SYAP1,Cytosol,352,39933,148,41,72,91,-264.1
SYK,Cytosol,635,72066,288,99,75,173,-341.3
TANGO6,Cytosol,1094,120748,546,137,131,280,-9.1
TARBP1,Cytosol,1621,181675,808,201,174,438,47.8
TBC1D17,Cytosol,648,72670,312,78,89,169,-218.4
TBC1D7,Cytosol,293,33972,135,48,38,72,-62.3
TBC1D9B,Cytosol,1250,140525,582,160,181,327,-411.8
TCP1,Cytosol,556,60344,280,75,74,127,-21
TELO2,Cytosol,837,91747,459,100,102,176,16.3
TF,Cytosol,698,77050,311,104,87,196,-235
TICAM1,Cytosol,712,76422,361,69,74,208,-298.9
TOLLIP,Cytosol,274,30282,144,27,27,76,-66.5
TPD52,Cytosol,224,24327,93,27,37,67,-146.2
TRAPPC2L,Cytosol,140,16146,62,18,16,44,-23.6
TRAPPC3,Cytosol,180,20274,86,22,28,44,-41.4
TRAPPC4,Cytosol,219,24340,117,26,25,51,-2.9
TRIM26,Cytosol,539,62166,217,88,108,126,-396.3
TRIO,Cytosol,3097,346900,1336,473,433,855,-1591
TRMT12,Cytosol,448,50236,215,66,47,120,-135.1
TRPC4AP,Cytosol,797,90852,367,109,89,232,-110.6
TSC2,Cytosol,1807,200608,870,248,203,486,-321.8
TSG101,Cytosol,390,43944,181,50,48,111,-181.5
TTC12,Cytosol,705,78756,324,97,101,183,-110.9
TTC26,Cytosol,554,64178,249,81,72,152,-184.7
TTF2,Cytosol,1162,129588,486,191,143,342,-696.1
TTI1,Cytosol,1089,122069,536,133,129,291,7.9
TTI2,Cytosol,508,56915,248,81,63,116,-84
TUBG1,Cytosol,451,51170,201,58,55,137,-169
TUBGCP2,Cytosol,902,102534,422,133,113,234,-187.6
TUBGCP4,Cytosol,667,76089,319,91,73,184,-106.1
TUBGCP5,Cytosol,1024,118321,439,147,144,294,-365.4
TUBGCP6,Cytosol,1819,200498,886,237,214,482,-538
TXNL4B,Cytosol,149,17015,70,20,20,39,-19.5
TYMP,Cytosol,482,49955,294,49,52,87,38.3
UBE2D2,Cytosol,147,16735,70,20,15,42,-51.2
UBE2Q1,Cytosol,422,46127,206,51,61,104,-220.4
UBE2W,Cytosol,151,17331,62,20,15,54,-74.4
UBR4,Cytosol,5183,573841,2369,621,604,1589,-1034.2
ULK3,Cytosol,472,53444,229,77,65,101,-142.7
URGCP,Cytosol,931,104987,458,131,122,220,-256.7
USP21,Cytosol,565,62656,276,97,52,140,-285.1
USP32,Cytosol,1604,181656,692,223,204,485,-761.4
USP40,Cytosol,1235,140130,551,171,176,337,-505
USP45,Cytosol,814,91733,315,132,101,266,-439.4
WDFY3,Cytosol,3526,395258,1646,458,389,1033,-684.7
WDR37,Cytosol,494,54665,197,74,59,164,-216.7
WDR41,Cytosol,459,51728,208,56,60,135,-66.5
WDR6,Cytosol,1121,121725,596,143,110,272,25
WDR62,Cytosol,1518,165954,700,188,182,448,-538.8
WIPI2,Cytosol,454,49408,220,53,49,132,-37.8
VPS33A,Cytosol,596,67611,288,86,77,145,-154.3
WWC2,Cytosol,1192,133891,467,176,187,362,-765.3
ZFYVE1,Cytosol,777,87176,320,129,97,231,-376.1
ZNF395,Cytosol,513,54939,248,63,50,152,-231.5
ZNHIT2,Cytosol,403,42884,224,48,47,84,-95.8
ZSWIM8,Cytosol,1837,197297,917,232,191,497,-703.3
ZYG11B,Cytosol,744,83921,354,103,82,205,-52.9
ZZEF1,Cytosol,2961,331075,1359,392,384,826,-699
ABCF1,Cytosol,845,95926,350,160,151,184,-805.9
ABL1,Cytosol,1130,122873,513,170,132,315,-674.8
AHR,Cytosol,848,96147,362,100,90,296,-475.2
AKAP13,Cytosol,2813,307550,1172,384,436,821,-1797.8
AKAP9,Cytosol,3907,452987,1385,611,768,1143,-3330.5
ANKHD1,Cytosol,2542,269458,1209,285,287,761,-977
ANKRD50,Cytosol,1429,155859,659,188,158,424,-409.5
ARCN1,Cytosol,511,57210,234,75,73,129,-200.1
ASB8,Cytosol,288,31642,143,36,36,73,-16.3
ATXN2,Cytosol,1313,140283,606,169,90,448,-1083.8
BAG1,Cytosol,345,38779,140,64,58,83,-312.3
BICD1,Cytosol,975,110750,375,160,162,278,-766.8
CCNB1,Cytosol,433,48337,222,60,52,99,-103.6
CCNJ,Cytosol,372,42581,164,46,32,130,-67.9
CDC20,Cytosol,499,54723,224,74,42,159,-241.2
CEP170B,Cytosol,1589,171688,727,240,217,405,-1385.2
CLTA,Cytosol,248,27077,118,26,46,58,-182
CLTB,Cytosol,229,25190,96,28,44,61,-208.4
CLTC,Cytosol,1675,191615,788,213,219,455,-406.6
COPG1,Cytosol,874,97718,406,112,120,236,-126.7
DEF8,Cytosol,512,58710,221,80,71,140,-209.1
DNA2,Cytosol,1060,120415,480,152,124,304,-197
EDRF1,Cytosol,1238,138528,528,167,156,387,-506.5
EIF2A,Cytosol,585,64990,266,81,55,183,-269.7
EIF3I,Cytosol,325,36502,143,42,43,97,-135.1
EIF4A2,Cytosol,407,46402,193,55,59,100,-105
FCHSD2,Cytosol,740,84276,292,112,114,222,-564.2
FHIT,Cytosol,147,16858,71,28,20,28,-58.7
GGA1,Cytosol,639,70384,307,73,82,177,-282.9
GGA2,Cytosol,613,67150,314,71,66,162,-154.7
GGA3,Cytosol,723,78315,365,80,84,194,-227.6
GIGYF1,Cytosol,1035,114601,467,150,164,254,-953.5
GIT2,Cytosol,759,84543,303,115,95,246,-527.8
GREB1,Cytosol,1949,216467,908,255,197,589,-480.6
HMMR,Cytosol,724,84100,249,136,139,200,-719.7
IFT140,Cytosol,1462,165193,671,212,204,375,-488.7
IPPK,Cytosol,491,56017,217,83,58,133,-199.5
ITPKB,Cytosol,946,102376,443,133,113,257,-647.6
JMY,Cytosol,988,111445,425,160,157,246,-716.6
KBTBD8,Cytosol,601,68823,262,84,78,177,-185.1
KCTD3,Cytosol,815,88984,370,107,88,250,-283.2
KPNA3,Cytosol,521,57811,254,53,68,146,-61.8
LNX2,Cytosol,690,76004,310,94,78,208,-239.8
MIB2,Cytosol,955,103658,479,150,106,220,-282.5
MYH10,Cytosol,1976,228999,768,364,387,457,-1705.6
MYL6,Cytosol,151,16930,71,18,28,34,-58.7
PARD6B,Cytosol,372,41182,171,50,52,99,-166.7
PDE4DIP,Cytosol,2346,265103,903,353,377,713,-1781.9
PLEKHG4,Cytosol,1191,130803,598,140,144,309,-328.5
POTEF,Cytosol,1075,121445,434,173,164,304,-730.4
PSMB6,Cytosol,239,25358,132,20,26,61,8.2
RSPH1,Cytosol,309,35124,119,42,67,81,-379.3
SAMD15,Cytosol,674,77151,251,92,174,157,-815.6
SDCCAG8,Cytosol,713,82682,239,126,127,221,-688.1
SEC16A,Cytosol,2357,251894,1170,242,240,705,-1429.6
SEC24D,Cytosol,1032,113010,536,105,83,308,-250.5
SNX27,Cytosol,541,61265,245,81,73,142,-253.4
SNX3,Cytosol,162,18762,73,28,23,38,-102
SRP68,Cytosol,627,70730,281,102,84,160,-346.5
SRP72,Cytosol,671,74606,280,114,76,201,-430.8
STRN,Cytosol,780,86132,341,107,120,212,-425.7
STRN4,Cytosol,753,80596,368,101,109,175,-330.5
TAX1BP1,Cytosol,789,90877,292,129,139,229,-665.6
TBC1D5,Cytosol,795,89004,347,102,92,254,-385.9
TEC,Cytosol,631,73581,262,106,83,180,-378.8
TRIM2,Cytosol,744,81530,338,98,82,226,-249.3
URI1,Cytosol,535,59832,208,87,106,134,-446
VPS11,Cytosol,941,107837,403,150,118,270,-416.3
VPS16,Cytosol,839,94694,404,125,110,200,-203
VPS18,Cytosol,973,110186,472,140,134,227,-261.5
YTHDF3,Cytosol,585,63861,268,67,46,204,-415.1
ZRANB1,Cytosol,708,80967,281,100,103,224,-373.7
ACAP2,Cytosol,778,88029,320,122,112,224,-457.3
AHSA1,Cytosol,338,38274,148,48,51,91,-185.8
ARFGAP2,Cytosol,521,56720,227,75,64,155,-321
ARFGAP3,Cytosol,516,56928,199,74,67,176,-352.5
ARFGEF1,Cytosol,1849,208767,820,239,239,551,-539
ARHGAP35,Cytosol,1499,170514,643,228,205,423,-738.1
ARHGEF10L,Cytosol,1279,140379,631,164,162,322,-338
ARMC6,Cytosol,501,54142,247,65,60,129,-45.5
ARMC9,Cytosol,818,91819,372,116,111,219,-342.4
ATG2B,Cytosol,2078,232763,937,270,271,600,-735
ATG5,Cytosol,275,32447,122,42,42,69,-128.6
BCAS3,Cytosol,928,101237,437,107,90,294,-266.2
BZW2,Cytosol,419,48162,186,68,64,101,-163.7
C7orf25,Cytosol,421,46451,198,62,57,104,-98.9
CARD14,Cytosol,1004,113270,429,151,150,274,-478.9
CDAN1,Cytosol,1227,134120,647,148,133,299,-240.7
CDC123,Cytosol,336,39135,136,43,60,97,-178.5
CEP41,Cytosol,373,41368,158,58,47,110,-308.9
CHKA,Cytosol,457,52249,222,62,58,115,-201.9
CHM,Cytosol,653,73476,270,70,101,212,-231.6
CHUK,Cytosol,745,84640,332,110,93,210,-224
CTU2,Cytosol,515,56107,261,62,59,133,-120
DCLK1,Cytosol,740,82224,317,114,91,218,-363.7
DIAPH1,Cytosol,1272,141347,631,178,194,269,-689.3
DIAPH2,Cytosol,1101,125569,495,177,168,261,-667.8
DNM1,Cytosol,864,97408,405,129,118,212,-462
DNM2,Cytosol,870,98064,413,131,114,212,-376.9
DPH6,Cytosol,267,30307,124,36,39,68,-54.3
ELP4,Cytosol,424,46588,208,59,43,114,-70.7
ETF1,Cytosol,437,49031,205,62,64,106,-136.1
FBXL16,Cytosol,479,51658,252,50,45,132,48.2
FBXO9,Cytosol,447,52329,185,67,65,130,-237.2
GAPVD1,Cytosol,1478,164980,644,193,220,421,-690.2
GLMN,Cytosol,594,68208,277,73,81,163,-81.6
GPN1,Cytosol,374,41740,175,40,52,107,-94.1
HEATR6,Cytosol,1181,128781,580,132,114,355,-76.7
INPPL1,Cytosol,1258,138599,606,172,159,321,-605.3
IPO4,Cytosol,1081,118715,587,117,149,228,75.2
IRAK1,Cytosol,712,76537,368,78,69,197,-199.4
IRAK4,Cytosol,460,51530,209,60,65,126,-159.9
KIF11,Cytosol,1056,119159,412,159,165,320,-569.2
KIF5C,Cytosol,957,109495,362,173,168,254,-776.3
KIFAP3,Cytosol,792,91205,370,110,132,180,-220
KLC2,Cytosol,622,68935,272,104,93,153,-455.2
LPIN3,Cytosol,851,93614,394,110,117,230,-481.4
LRRC58,Cytosol,371,40586,186,41,36,108,-22.3
LRSAM1,Cytosol,723,83594,294,106,106,217,-422.8
LYPLA2,Cytosol,231,24737,135,28,20,48,39.1
MALT1,Cytosol,824,92272,380,106,107,231,-223
MAP3K4,Cytosol,1608,181685,717,243,230,418,-815.6
MAP3K7,Cytosol,606,67196,255,81,70,200,-325.3
MICAL1,Cytosol,1067,117875,518,140,129,280,-420.3
MSTO1,Cytosol,570,61835,292,64,59,155,-75.7
NFATC2,Cytosol,925,100146,451,112,86,276,-502.8
NFKB1,Cytosol,968,105356,474,123,133,238,-328.5
NFKB2,Cytosol,900,96749,458,119,110,213,-370.8
OSBPL2,Cytosol,480,55201,201,75,69,135,-316
OXR1,Cytosol,874,97970,339,127,136,272,-656.8
OXSR1,Cytosol,527,58022,248,75,71,133,-190.1
PCTP,Cytosol,214,24843,92,28,29,65,-106.1
PDPK1,Cytosol,556,63152,250,83,69,154,-281.6
PHGDH,Cytosol,533,56651,291,56,51,135,49.7
PI4KB,Cytosol,816,91379,370,112,105,229,-283.3
PIK3R1,Cytosol,724,83598,289,112,109,214,-518.4
PITPNB,Cytosol,271,31540,113,46,41,71,-166.1
PMVK,Cytosol,192,21995,89,28,29,46,-82.8
PPP2R5D,Cytosol,602,69992,273,98,81,150,-319.6
PPP3CB,Cytosol,524,59024,259,69,68,128,-156.5
PPP4R1,Cytosol,950,107004,422,110,157,261,-269.7
PREX1,Cytosol,1659,186203,747,239,220,453,-613
RABGAP1L,Cytosol,815,92513,356,109,121,229,-331.1
RABGAP1L,Cytosol,253,29038,91,44,49,69,-224.8
RAP1GAP,Cytosol,663,73361,303,89,89,182,-343.1
RAPH1,Cytosol,1250,135256,603,155,117,375,-812.2
